ticker,company_name,industry_group,latest_date,data_points,return_3d,return_5d,return_10d,return_20d,avg_volume_3d,avg_volume_5d,avg_volume_20d,relative_volume,ma_5d,ma_10d,ma_20d,max_drawdown_10d,up_days_10d,early_momentum_signal,confirmed_momentum_signal,strong_momentum_signal,risk_warning,relative_strength_vs_industry
PINS,Pinterest Inc.,Consumer Platforms,2026-05-08,124,-0.045332,0.051929,0.067771,0.207151,26222395.333333,35114477.200000,18425869.300000,1.039619,21.422000,20.693000,20.287500,-0.050269,5,False,False,False,False,0.109489
JNJ,Johnson & Johnson,Defensive Healthcare,2026-05-08,124,-0.018754,-0.025837,-0.027165,-0.071878,6367462.666667,6574857.600000,7688249.400000,0.500815,223.639999,225.572000,229.113500,-0.037111,3,False,False,False,False,-0.013522
MRK,Merck & Co. Inc.,Defensive Healthcare,2026-05-08,124,-0.015643,-0.006954,-0.004647,-0.082688,6762788.000000,7171572.800000,9359003.200000,0.609388,112.700000,111.605000,113.883000,-0.019197,5,False,False,False,False,0.008995
PFE,Pfizer Inc.,Defensive Healthcare,2026-05-08,124,-0.029112,-0.024687,-0.048889,-0.046062,41824842.666667,43542805.600000,36529981.400000,1.006610,26.288000,26.400000,26.786000,-0.041433,3,False,False,False,False,-0.035246
ABBV,AbbVie Inc.,Defensive Healthcare,2026-05-08,124,-0.022124,-0.024443,0.014292,-0.022689,5770874.333333,5276484.600000,6861861.150000,0.486970,204.712003,204.044003,204.426062,-0.046233,4,False,False,False,False,0.027935
UNH,UnitedHealth Group Inc.,Defensive Healthcare,2026-05-08,124,0.044274,0.030370,0.070607,0.248579,6123035.666667,5955001.400000,8238545.350000,0.781474,370.323999,368.307999,349.892000,-0.018557,6,False,True,False,False,0.084250
MDT,Medtronic plc,Defensive Healthcare,2026-05-08,124,-0.021082,-0.048125,-0.086054,-0.126820,9627462.333333,9868737.400000,9342999.350000,0.791682,77.560001,79.296001,82.267501,-0.081645,2,False,False,False,True,-0.072411
PG,Procter & Gamble Co.,Defensive Staples,2026-05-08,124,0.010490,-0.005704,-0.011877,0.016275,8224513.333333,8396128.000000,8764457.000000,0.653576,145.739996,146.707997,145.115920,-0.038547,7,False,False,False,False,-0.019128
KO,The Coca-Cola Company,Defensive Staples,2026-05-08,124,-0.000765,-0.002036,0.023359,0.012263,13178930.333333,12769338.200000,13981429.550000,0.639784,78.550002,78.275002,76.950500,-0.010223,4,False,False,False,False,0.016108
PEP,PepsiCo Inc.,Defensive Staples,2026-05-08,124,-0.002709,-0.017724,-0.005275,-0.015535,4753479.666667,5158267.800000,5872256.950000,0.766288,155.299997,155.807999,155.871000,-0.024607,5,False,False,False,False,-0.012526
WMT,Walmart Inc.,Defensive Staples,2026-05-08,124,-0.002753,-0.008891,0.003925,0.028871,15415029.333333,13444617.600000,16183279.400000,0.923063,130.365997,129.854997,128.734999,-0.014023,5,False,False,False,False,-0.003325
COST,Costco Wholesale Corporation,Defensive Staples,2026-05-08,124,-0.007507,-0.002876,-0.000886,0.011802,2144452.000000,1873811.200000,1786697.800000,1.007588,1009.161987,1005.691669,1000.143240,-0.020336,5,False,False,False,False,-0.008137
CL,Colgate-Palmolive Company,Defensive Staples,2026-05-08,124,0.014132,0.003323,0.034259,0.044512,4747859.333333,4796215.600000,5440563.900000,0.636474,86.954002,86.172001,84.811969,-0.021659,6,False,True,False,False,0.027008
SPY,SPDR S&P 500 ETF Trust,Market ETFs,2026-05-08,124,0.019136,0.023548,0.033168,0.085597,50361678.000000,47993766.800000,50563786.700000,0.911157,728.962012,722.256006,713.063004,-0.005020,6,True,True,False,False,-0.000717
QQQ,Invesco QQQ Trust,Market ETFs,2026-05-08,124,0.043456,0.055003,0.071323,0.163909,42041543.666667,39553546.200000,40235386.550000,1.082804,691.285999,678.166998,660.795496,-0.010057,7,True,True,False,False,0.037438
IWM,iShares Russell 2000 ETF,Market ETFs,2026-05-08,124,0.005698,0.017509,0.027182,0.087524,24671255.333333,25501853.200000,26983228.300000,0.827665,282.734003,279.405002,276.173503,-0.018258,6,True,True,False,False,-0.006702
DIA,SPDR Dow Jones Industrial Average ETF Trust,Market ETFs,2026-05-08,124,0.006431,0.002242,0.007964,0.035661,4068463.666667,3780398.200000,4126894.550000,0.823280,494.721997,493.719998,491.711392,-0.014276,4,False,False,False,False,-0.025921
VTI,Vanguard Total Stock Market ETF,Market ETFs,2026-05-08,124,0.016471,0.021335,0.030734,0.083032,3384518.666667,3177631.200000,3349827.800000,0.853284,359.179999,355.873999,351.648997,-0.006581,6,True,True,False,False,-0.003150
